"","Results.reception.time","MD5.hash.of.participant.s.IP.address","Controller.name","Order.number.of.item","Inner.element.number","Label","Latin.Square.Group","PennElementType","PennElementName","Parameter","Value","EventTime","Type","Correct","ReadingTime","Comments"
"1",1719250688,"1a1b3a36d901be7f0d8af758ff3d10fa","PennController",0,0,"instructions","NULL","PennController","0","_Trial_","Start","1719250675896","NULL","",NA,""
"2",1719250688,"1a1b3a36d901be7f0d8af758ff3d10fa","PennController",0,0,"instructions","NULL","PennController","0","_Trial_","End","1719250676830","NULL","",NA,""
"3",1719250688,"1a1b3a36d901be7f0d8af758ff3d10fa","PennController",1,0,"practice-trial","NULL","PennController","1","_Trial_","Start","1719250676833","NULL","",NA,""
"4",1719250688,"1a1b3a36d901be7f0d8af758ff3d10fa","PennController",1,0,"practice-trial","NULL","Timer","practiceTime","Start","Start","1719250677349","NULL","",NA,""
"5",1719250688,"1a1b3a36d901be7f0d8af758ff3d10fa","PennController",1,0,"practice-trial","NULL","Scale","practiceAnswer","Choice","Left (F)","1719250678937","NULL","",NA,""
"6",1719250688,"1a1b3a36d901be7f0d8af758ff3d10fa","PennController",1,0,"practice-trial","NULL","Timer","practiceTime","End","End","1719250678937","NULL","",NA,""
"7",1719250688,"1a1b3a36d901be7f0d8af758ff3d10fa","PennController",1,0,"practice-trial","NULL","PennController","1","_Trial_","End","1719250679945","NULL","",NA,""
"8",1719250688,"1a1b3a36d901be7f0d8af758ff3d10fa","PennController",2,0,"pre-experiment","NULL","PennController","2","_Trial_","Start","1719250679947","NULL","",NA,""
"9",1719250688,"1a1b3a36d901be7f0d8af758ff3d10fa","PennController",2,0,"pre-experiment","NULL","PennController","2","_Trial_","End","1719250680783","NULL","",NA,""
"10",1719250688,"1a1b3a36d901be7f0d8af758ff3d10fa","PennController",3,0,"trials","NULL","PennController","3","_Trial_","Start","1719250680784","","false",2,"NULL"
"11",1719250688,"1a1b3a36d901be7f0d8af758ff3d10fa","PennController",3,0,"trials","NULL","Canvas","side-by-side","Print",NA,"1719250680785","","false",2,"NULL"
"12",1719250688,"1a1b3a36d901be7f0d8af758ff3d10fa","PennController",3,0,"trials","NULL","PennController","3","_Trial_","End","1719250681798","","false",2,"NULL"
"13",1719250688,"1a1b3a36d901be7f0d8af758ff3d10fa","PennController",4,0,"trials","NULL","PennController","4","_Trial_","Start","1719250681801","","false",2,"NULL"
"14",1719250688,"1a1b3a36d901be7f0d8af758ff3d10fa","PennController",4,0,"trials","NULL","Canvas","side-by-side","Print",NA,"1719250681802","","false",2,"NULL"
"15",1719250688,"1a1b3a36d901be7f0d8af758ff3d10fa","PennController",4,0,"trials","NULL","PennController","4","_Trial_","End","1719250682813","","false",2,"NULL"
"16",1719250688,"1a1b3a36d901be7f0d8af758ff3d10fa","PennController",5,0,"trials","NULL","PennController","5","_Trial_","Start","1719250682815","","false",1,"NULL"
"17",1719250688,"1a1b3a36d901be7f0d8af758ff3d10fa","PennController",5,0,"trials","NULL","Canvas","side-by-side","Print",NA,"1719250682816","","false",1,"NULL"
"18",1719250688,"1a1b3a36d901be7f0d8af758ff3d10fa","PennController",5,0,"trials","NULL","PennController","5","_Trial_","End","1719250683825","","false",1,"NULL"
"19",1719250688,"1a1b3a36d901be7f0d8af758ff3d10fa","PennController",6,0,"trials","NULL","PennController","6","_Trial_","Start","1719250683828","","false",1,"NULL"
"20",1719250688,"1a1b3a36d901be7f0d8af758ff3d10fa","PennController",6,0,"trials","NULL","Canvas","side-by-side","Print",NA,"1719250683829","","false",1,"NULL"
"21",1719250688,"1a1b3a36d901be7f0d8af758ff3d10fa","PennController",6,0,"trials","NULL","PennController","6","_Trial_","End","1719250684840","","false",1,"NULL"
"22",1719250688,"1a1b3a36d901be7f0d8af758ff3d10fa","PennController",7,0,"trials","NULL","PennController","7","_Trial_","Start","1719250684843","","false",1,"NULL"
"23",1719250688,"1a1b3a36d901be7f0d8af758ff3d10fa","PennController",7,0,"trials","NULL","Canvas","side-by-side","Print",NA,"1719250684844","","false",1,"NULL"
"24",1719250688,"1a1b3a36d901be7f0d8af758ff3d10fa","PennController",7,0,"trials","NULL","PennController","7","_Trial_","End","1719250685854","","false",1,"NULL"
"25",1719250688,"1a1b3a36d901be7f0d8af758ff3d10fa","PennController",8,0,"trials","NULL","PennController","8","_Trial_","Start","1719250685858","","false",1,"NULL"
"26",1719250688,"1a1b3a36d901be7f0d8af758ff3d10fa","PennController",8,0,"trials","NULL","Canvas","side-by-side","Print",NA,"1719250685859","","false",1,"NULL"
"27",1719250688,"1a1b3a36d901be7f0d8af758ff3d10fa","PennController",8,0,"trials","NULL","PennController","8","_Trial_","End","1719250686866","","false",1,"NULL"
"28",1719250688,"1a1b3a36d901be7f0d8af758ff3d10fa","PennController",9,0,"trials","NULL","Canvas","side-by-side","Print",NA,"1719250686869","","false",1,"NULL"
"29",1719250688,"1a1b3a36d901be7f0d8af758ff3d10fa","PennController",9,0,"trials","NULL","PennController","9","_Trial_","Start","1719250686869","","false",1,"NULL"
"30",1719250688,"1a1b3a36d901be7f0d8af758ff3d10fa","PennController",9,0,"trials","NULL","PennController","9","_Trial_","End","1719250687877","","false",1,"NULL"
"31",1719250688,"1a1b3a36d901be7f0d8af758ff3d10fa","PennController",10,0,"trials","NULL","Canvas","side-by-side","Print",NA,"1719250687878","","false",1,"NULL"
"32",1719250688,"1a1b3a36d901be7f0d8af758ff3d10fa","PennController",10,0,"trials","NULL","PennController","10","_Trial_","Start","1719250687878","","false",1,"NULL"
"33",1719250688,"1a1b3a36d901be7f0d8af758ff3d10fa","PennController",10,0,"trials","NULL","PennController","10","_Trial_","End","1719250688883","","false",1,"NULL"
"34",1719250688,"1a1b3a36d901be7f0d8af758ff3d10fa","PennController",3,0,"trials","NULL","Scale","answer","Choice",NA,"Never","","false",2,"No selection happened"
"35",1719250688,"1a1b3a36d901be7f0d8af758ff3d10fa","PennController",4,0,"trials","NULL","Scale","answer","Choice",NA,"Never","","false",2,"No selection happened"
"36",1719250688,"1a1b3a36d901be7f0d8af758ff3d10fa","PennController",5,0,"trials","NULL","Scale","answer","Choice",NA,"Never","","false",1,"No selection happened"
"37",1719250688,"1a1b3a36d901be7f0d8af758ff3d10fa","PennController",6,0,"trials","NULL","Scale","answer","Choice",NA,"Never","","false",1,"No selection happened"
"38",1719250688,"1a1b3a36d901be7f0d8af758ff3d10fa","PennController",7,0,"trials","NULL","Scale","answer","Choice",NA,"Never","","false",1,"No selection happened"
"39",1719250688,"1a1b3a36d901be7f0d8af758ff3d10fa","PennController",8,0,"trials","NULL","Scale","answer","Choice",NA,"Never","","false",1,"No selection happened"
"40",1719250688,"1a1b3a36d901be7f0d8af758ff3d10fa","PennController",9,0,"trials","NULL","Scale","answer","Choice",NA,"Never","","false",1,"No selection happened"
"41",1719250688,"1a1b3a36d901be7f0d8af758ff3d10fa","PennController",10,0,"trials","NULL","Scale","answer","Choice",NA,"Never","","false",1,"No selection happened"
"42",1719252718,"1a1b3a36d901be7f0d8af758ff3d10fa","PennController",0,0,"instructions","NULL","PennController","0","_Trial_","Start","1719252695885","NULL","",NA,""
"43",1719252718,"1a1b3a36d901be7f0d8af758ff3d10fa","PennController",0,0,"instructions","NULL","PennController","0","_Trial_","End","1719252696625","NULL","",NA,""
"44",1719252718,"1a1b3a36d901be7f0d8af758ff3d10fa","PennController",1,0,"practice-trial","NULL","PennController","1","_Trial_","Start","1719252696628","NULL","",NA,""
"45",1719252718,"1a1b3a36d901be7f0d8af758ff3d10fa","PennController",1,0,"practice-trial","NULL","Scale","practiceAnswer","Choice","Left (F)","1719252698109","NULL","",NA,""
"46",1719252718,"1a1b3a36d901be7f0d8af758ff3d10fa","PennController",1,0,"practice-trial","NULL","PennController","1","_Trial_","End","1719252699117","NULL","",NA,""
"47",1719252718,"1a1b3a36d901be7f0d8af758ff3d10fa","PennController",2,0,"pre-experiment","NULL","PennController","2","_Trial_","Start","1719252699126","NULL","",NA,""
"48",1719252718,"1a1b3a36d901be7f0d8af758ff3d10fa","PennController",2,0,"pre-experiment","NULL","PennController","2","_Trial_","End","1719252699960","NULL","",NA,""
"49",1719252718,"1a1b3a36d901be7f0d8af758ff3d10fa","PennController",3,0,"trials","NULL","PennController","3","_Trial_","Start","1719252699962","normal","true",1902,"NULL"
"50",1719252718,"1a1b3a36d901be7f0d8af758ff3d10fa","PennController",3,0,"trials","NULL","Canvas","side-by-side","Print",NA,"1719252699964","normal","true",1902,"NULL"
"51",1719252718,"1a1b3a36d901be7f0d8af758ff3d10fa","PennController",3,0,"trials","NULL","Scale","answer","Choice","Right (J)","1719252701868","normal","true",1902,"NULL"
"52",1719252718,"1a1b3a36d901be7f0d8af758ff3d10fa","PennController",3,0,"trials","NULL","PennController","3","_Trial_","End","1719252702875","normal","true",1902,"NULL"
